FIPS,State,County,LL_Z,LL_R,QL_Z,QL_R,HB_Z,HB_R,CC_Z,CC_R,SEF_Z,SEF_R,PE_Z,PE_R
36000,New York,,,,,,,,,,,,,
36001,New York,Albany,-0.13,25,-0.01,30,-0.11,14,-0.14,7,-0.29,8,0,32
36003,New York,Allegany,0.1,34,0.05,34,0.03,29,0.07,47,0.01,31,0,29
36005,New York,Bronx,0.37,47,1.7,62,0.24,58,0.27,62,1.06,62,0.08,62
36007,New York,Broome,0.47,53,0.3,53,0.14,49,-0.08,12,0.12,45,-0.06,4
36009,New York,Cattaraugus,0.47,54,0.48,60,0.16,55,0.11,53,0.15,50,0.02,46
36011,New York,Cayuga,-0.17,22,-0.29,17,0.04,33,0.02,39,0,29,0.01,43
36013,New York,Chautauqua,0.41,50,0.34,57,0.18,57,-0.06,19,0.17,52,0.01,40
36015,New York,Chemung,0.5,57,0.29,51,0.14,52,0.04,42,0.2,55,0,30
36017,New York,Chenango,0.24,40,-0.04,28,0.08,43,0,34,0.03,33,-0.07,1
36019,New York,Clinton,-0.15,24,0.1,39,0.18,56,-0.01,31,0.1,41,-0.02,16
36021,New York,Columbia,0.18,37,-0.2,22,-0.13,12,-0.01,29,-0.2,12,-0.06,3
36023,New York,Cortland,0.1,35,-0.04,27,0.05,35,-0.03,25,0,30,-0.06,5
36025,New York,Delaware,0.44,51,0.3,54,-0.02,24,0.12,54,0.18,53,-0.03,12
36027,New York,Dutchess,-0.25,20,-0.26,19,-0.16,9,-0.07,18,-0.28,9,0.03,52
36029,New York,Erie,0.52,59,0.2,43,0.01,27,-0.11,10,0.05,35,0.06,58
36031,New York,Essex,0.01,32,0.07,36,-0.05,21,0.01,37,0.02,32,-0.04,10
36033,New York,Franklin,0.08,33,0.44,59,0.36,62,0.07,46,0.3,57,-0.01,24
36035,New York,Fulton,0.38,48,0.33,55,0.14,50,0.11,51,0.34,58,-0.01,21
36037,New York,Genesee,-0.16,23,-0.49,3,-0.04,22,0.1,50,-0.2,13,-0.02,15
36039,New York,Greene,0.47,55,0.28,49,0.05,34,0.11,52,0.13,47,0,34
36041,New York,Hamilton,1.5,62,-0.56,2,-0.16,10,-0.07,16,0.08,40,-0.07,2
36043,New York,Herkimer,0.25,42,0.14,41,0.15,53,0.06,45,0.08,38,-0.01,18
36045,New York,Jefferson,0.23,39,0.04,33,0.35,61,-0.07,17,0.08,39,-0.01,19
36047,New York,Kings,-0.36,12,0.42,58,-0.15,11,0.14,56,0.41,61,0.05,57
36049,New York,Lewis,0.1,36,-0.44,7,0.13,47,-0.02,27,0.11,42,-0.03,11
36051,New York,Livingston,-0.41,9,-0.31,14,0.06,37,-0.03,23,-0.16,15,0.03,53
36053,New York,Madison,-0.28,14,-0.41,8,-0.06,19,-0.08,13,-0.08,23,0,31
36055,New York,Monroe,-0.19,21,0.24,47,0.02,28,-0.06,20,-0.03,26,-0.02,17
36057,New York,Montgomery,0.45,52,0.23,46,0.08,44,-0.03,26,0.35,59,-0.05,8
36059,New York,Nassau,-0.9,4,-0.39,10,-0.46,2,-0.18,3,-0.54,3,0.06,59
36061,New York,New York,-1.01,2,0.3,52,-0.4,3,-0.17,6,0.11,44,0.04,55
36063,New York,Niagara,0.72,60,0.2,44,0.11,45,0.06,44,0.15,48,0.01,42
36065,New York,Oneida,0.4,49,0.34,56,0.25,60,-0.03,24,0.15,49,0,28
36067,New York,Onondaga,0,31,0.08,37,0.06,38,-0.18,4,-0.05,25,-0.05,7
36069,New York,Ontario,-0.28,15,-0.45,6,-0.12,13,0,32,-0.32,6,0.03,51
36071,New York,Orange,-0.31,13,0.06,35,0.06,39,0,33,-0.17,14,0.04,54
36073,New York,Orleans,0.51,58,0.18,42,0.08,41,0.19,60,0.16,51,-0.01,22
36075,New York,Oswego,0.48,56,0.29,50,0.25,59,0.01,36,0.36,60,0.02,50
36077,New York,Otsego,-0.28,16,-0.03,29,0.04,30,-0.08,15,-0.1,19,-0.02,14
36079,New York,Putnam,-0.8,7,-0.26,18,-0.35,4,-0.04,22,-0.57,1,-0.01,27
36081,New York,Queens,-0.87,6,0.22,45,-0.28,7,0.23,61,0.07,37,0.02,48
36083,New York,Rensselaer,0.21,38,-0.14,24,0.07,40,-0.05,21,-0.22,11,0.01,38
36085,New York,Richmond,-0.27,17,0.03,31,-0.04,23,-0.08,14,0.07,36,0.01,41
36087,New York,Rockland,-1.03,1,-0.4,9,-0.33,5,-0.12,8,-0.23,10,0.07,60
36089,New York,St. Lawrence,0.24,41,0.25,48,0.16,54,0.02,38,0.19,54,0.01,36
36091,New York,Saratoga,-0.9,5,-0.66,1,-0.21,8,-0.17,5,-0.56,2,0.01,39
36093,New York,Schenectady,0.33,46,0.13,40,0.04,31,-0.11,9,-0.08,22,-0.04,9
36095,New York,Schoharie,-0.25,19,-0.22,20,-0.08,17,0.05,43,0.03,34,-0.01,20
36097,New York,Schuyler,-0.09,27,-0.06,26,-0.01,25,0.15,57,0.12,46,-0.05,6
36099,New York,Seneca,-0.05,29,-0.31,15,0.13,46,0.09,49,-0.02,27,0.02,47
36101,New York,Steuben,0.32,45,0.03,32,0.14,48,-0.01,30,0.11,43,-0.01,23
36103,New York,Suffolk,-0.41,10,-0.34,12,-0.28,6,0,35,-0.33,5,0.05,56
36105,New York,Sullivan,0.97,61,0.52,61,0.14,51,0.13,55,0.27,56,0.01,44
36107,New York,Tioga,0.29,44,-0.21,21,0,26,0.03,41,-0.09,20,0,35
36109,New York,Tompkins,-0.68,8,-0.16,23,-0.08,18,-0.24,1,-0.38,4,-0.01,26
36111,New York,Ulster,-0.26,18,-0.36,11,-0.1,16,0.02,40,-0.12,17,0.02,49
36113,New York,Warren,-0.38,11,-0.34,13,-0.1,15,-0.24,2,-0.11,18,-0.01,25
36115,New York,Washington,-0.05,28,0.09,38,0.08,42,-0.01,28,0,28,0.01,37
36117,New York,Wayne,-0.01,30,-0.07,25,0.05,36,0.17,58,-0.15,16,-0.03,13
36119,New York,Westchester,-0.99,3,-0.3,16,-0.49,1,-0.11,11,-0.32,7,0.07,61
36121,New York,Wyoming,0.26,43,-0.47,4,-0.05,20,0.08,48,-0.09,21,0.02,45
36123,New York,Yates,-0.13,26,-0.45,5,0.04,32,0.19,59,-0.06,24,0,33
