"","NAME","ADDRESS","CITY","TYPE","POPULATION","COUNTY","COUNTYFIPS","X","Y","OWNER","BEDS","HELIPAD","heli.dummy"
"1","BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","101 HOSPITAL RD","PATCHOGUE","GENERAL ACUTE CARE",306,"SUFFOLK",36103,-72.97714065,40.78005719,"NON-PROFIT",306,"Y",1
"2","SOUTHAMPTON HOSPITAL","240 MEETING HOUSE LANE","SOUTHAMPTON","GENERAL ACUTE CARE",125,"SUFFOLK",36103,-72.37994406,40.88505974,"NON-PROFIT",125,"NOT AVAILABLE",0
"3","EASTERN LONG ISLAND HOSPITAL","201 MANOR PL","GREENPORT","GENERAL ACUTE CARE",90,"SUFFOLK",36103,-72.36112732,41.11036057,"NON-PROFIT",90,"Y",1
"4","HUNTINGTON HOSPITAL","270 PARK AVE","HUNTINGTON","GENERAL ACUTE CARE",408,"SUFFOLK",36103,-73.41619953,40.87932924,"NON-PROFIT",408,"NOT AVAILABLE",0
"5","SOUTHSIDE HOSPITAL","301 E MAIN ST","BAY SHORE","GENERAL ACUTE CARE",321,"SUFFOLK",36103,-73.24115864,40.72596015,"NON-PROFIT",321,"NOT AVAILABLE",0
"6","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVE","RIVERHEAD","GENERAL ACUTE CARE",140,"SUFFOLK",36103,-72.67362495,40.93426399,"NON-PROFIT",140,"NOT AVAILABLE",0
"7","ST CHARLES HOSPITAL AND REHABILITATION CENTER","200 BELLE TERRE RD","PORT JEFFERSON","GENERAL ACUTE CARE",243,"SUFFOLK",36103,-73.06096322,40.94663123,"NON-PROFIT",243,"Y",1
"8","ST. CATHERINE OF SIENA MEDICAL CENTER","50 ROUTE","SMITHTOWN","GENERAL ACUTE CARE",306,"SUFFOLK",36103,-73.22299673,40.86850019,"NON-PROFIT",306,"NOT AVAILABLE",0
"9","CAYUGA MEDICAL CENTER","101 DATES DR","ITHACA","GENERAL ACUTE CARE",212,"TOMPKINS",36109,-76.53748416,42.46898507,"NON-PROFIT",212,"Y",1
"10","GOOD SAMARITAN HOSPITAL - WEST ISLIP","1000 MONTAUK HIGHWAY","WEST ISLIP","GENERAL ACUTE CARE",437,"SUFFOLK",36103,-73.29439462,40.69388013,"NON-PROFIT",437,"NOT AVAILABLE",0
"11","GROVER M. HERMAN HOSPITAL","8081 ROUTE 97","CALLICOON","CRITICAL ACCESS",15,"SULLIVAN",36105,-75.04741551,41.74029193,"NON-PROFIT",15,"NOT AVAILABLE",0
"12","HEALTHALLIANCE HOSPITAL - MARY'S AVENUE CAMPSU","105 MARY'S AVENUE","KINGSTON","GENERAL ACUTE CARE",150,"ULSTER",36111,-73.99968712,41.92149416,"NON-PROFIT",150,"Y",1
"13","HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS","396 BROADWAY","KINGSTON","GENERAL ACUTE CARE",150,"ULSTER",36111,-73.99484207,41.92665841,"NON-PROFIT",150,"NOT AVAILABLE",0
"14","ELLENVILLE REGIONAL HOSPITAL","10 HEALTHY WAY","ELLENVILLE","CRITICAL ACCESS",25,"ULSTER",36111,-74.37903498,41.73262979,"NON-PROFIT",25,"NOT AVAILABLE",0
"15","GLENS FALLS HOSPITAL","100 PARK ST","GLENS FALLS","GENERAL ACUTE CARE",410,"WARREN",36113,-73.64631274,43.30662939,"NON-PROFIT",410,"Y",1
"16","WHITE PLAINS HOSPITAL CENTER","41 E POST RD","WHITE PLAINS","GENERAL ACUTE CARE",292,"WESTCHESTER",36119,-73.7693051,41.02559431,"NON-PROFIT",292,"NOT AVAILABLE",0
"17","NEWARK-WAYNE COMMUNITY HOSPITAL","111 DRIVING PARK AVE","NEWARK","GENERAL ACUTE CARE",120,"WAYNE",36117,-77.10166991,43.06049938,"NON-PROFIT",120,"Y",1
"18","ST. JOHN'S RIVERSIDE HOSPITAL - DOBBS FERRY","128 ASHFORD AVE","DOBBS FERRY","GENERAL ACUTE CARE",12,"WESTCHESTER",36119,-73.86191965,41.01439225,"NON-PROFIT",12,"NOT AVAILABLE",0
"19","NORTHERN WESTCHESTER HOSPITAL","400 E MAIN ST","MOUNT KISCO","GENERAL ACUTE CARE",245,"WESTCHESTER",36119,-73.72570075,41.19705408,"NON-PROFIT",145,"NOT AVAILABLE",0
"20","PHELPS MEMORIAL HOSPITAL CENTER","701  NORTH BROADWAY","SLEEPY HOLLOW","GENERAL ACUTE CARE",238,"WESTCHESTER",36119,-73.86308776,41.10900706,"NON-PROFIT",238,"NOT AVAILABLE",0
"21","NEW YORK-PRESBYTERIAN/LAWRENCE HOSPITAL","55 PALMER AVE","BRONXVILLE","GENERAL ACUTE CARE",187,"WESTCHESTER",36119,-73.8365642,40.94209087,"NON-PROFIT",187,"NOT AVAILABLE",0
"22","BLYTHEDALE CHILDREN'S HOSPITAL","95 BRADHURST AVE","VALAHALLA","CHILDREN",86,"WESTCHESTER",36119,-73.79997224,41.07484754,"NON-PROFIT",86,"NOT AVAILABLE",0
"23","SOLDIERS AND SAILORS MEMORIAL HOSPITAL","418 N MAIN ST","PENN YAN","CRITICAL ACCESS",25,"YATES",36123,-77.06119958,42.67140067,"NON-PROFIT",25,"NOT AVAILABLE",0
"24","BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION","1276 FULTON AVE","BRONX","GENERAL ACUTE CARE",164,"BRONX",36005,-73.90405698,40.83171479,"NON-PROFIT",164,"NOT AVAILABLE",0
"25","WESTCHESTER MEDICAL CENTER","100 WOODS RD","VALHALLA","GENERAL ACUTE CARE",652,"WESTCHESTER",36119,-73.80495477,41.08609075,"GOVERNMENT - DISTRICT/AUTHORITY",652,"NOT AVAILABLE",0
"26","JACOBI MEDICAL CENTER","1400 PELHAM PARKWAY SOUTH","BRONX","GENERAL ACUTE CARE",457,"BRONX",36005,-73.84751215,40.85629836,"GOVERNMENT - LOCAL",457,"Y",1
"27","MONTEFIORE MEDICAL CENTER - MOSES DIVISION","111 E 210TH ST","BRONX","GENERAL ACUTE CARE",779,"BRONX",36005,-73.8798267,40.88007926,"NON-PROFIT",779,"NOT AVAILABLE",0
"28","CALVARY HOSPITAL","1740 EASTCHESTER RD","BRONX","LONG TERM CARE",225,"BRONX",36005,-73.84394163,40.84798989,"NON-PROFIT",225,"NOT AVAILABLE",0
"29","NORTH CENTRAL BRONX HOSPITAL","3424 KOSSUTH AVE","BRONX","GENERAL ACUTE CARE",213,"BRONX",36005,-73.88105711,40.8803656,"GOVERNMENT - LOCAL",213,"NOT AVAILABLE",0
"30","WYOMING COUNTY COMMUNITY HOSPITAL","400 N MAIN ST","WARSAW","GENERAL ACUTE CARE",62,"WYOMING",36121,-78.1310725,42.75430004,"GOVERNMENT - LOCAL",62,"Y",1
"31","BROOKDALE HOSPITAL MEDICAL CENTER","1 BROOKDALE PLAZA","BROOKLYN","GENERAL ACUTE CARE",530,"KINGS",36047,-73.91255653,40.6552691,"NON-PROFIT",530,"NOT AVAILABLE",0
"32","BROOKLYN HOSPITAL CENTER","121 DEKALB AVE","BROOKLYN","GENERAL ACUTE CARE",464,"KINGS",36047,-73.97788376,40.69057251,"NON-PROFIT",464,"NOT AVAILABLE",0
"33","KINGS COUNTY HOSPITAL CENTER","451 CLARKSON AVE","BROOKLYN","GENERAL ACUTE CARE",639,"KINGS",36047,-73.94469079,40.65661638,"GOVERNMENT - LOCAL",639,"NOT AVAILABLE",0
"34","CONEY ISLAND HOSPITAL","2601 OCEAN PARKWAY","BROOKLYN","GENERAL ACUTE CARE",371,"KINGS",36047,-73.96533243,40.58541438,"GOVERNMENT - LOCAL",371,"NOT AVAILABLE",0
"35","MAIMONIDES MEDICAL CENTER","4802 10TH AVE","BROOKLYN","GENERAL ACUTE CARE",679,"KINGS",36047,-73.99845264,40.63947888,"NON-PROFIT",679,"NOT AVAILABLE",0
"36","NYU LUTHERAN MEDICAL CENTER","150 55TH ST","BROOKLYN","GENERAL ACUTE CARE",396,"KINGS",36047,-74.02091469,40.64656399,"NON-PROFIT",396,"NOT AVAILABLE",0
"37","NEW YORK METHODIST HOSPITAL","506 6TH ST","BROOKLYN","GENERAL ACUTE CARE",591,"KINGS",36047,-73.97899052,40.6677617,"NON-PROFIT",591,"NOT AVAILABLE",0
"38","INTERFAITH MEDICAL CENTER","1545 ATLANTIC AVE","BROOKLYN","GENERAL ACUTE CARE",287,"KINGS",36047,-73.93736834,40.67823304,"NON-PROFIT",287,"NOT AVAILABLE",0
"39","WYCKOFF HEIGHTS MEDICAL CENTER","374 STOCKHOLM ST","BROOKLYN","GENERAL ACUTE CARE",324,"KINGS",36047,-73.9177637,40.70396404,"NON-PROFIT",324,"NOT AVAILABLE",0
"40","NYU HOSPITAL FOR JOINT DISEASES","301 E 17TH ST","NEW YORK","GENERAL ACUTE CARE",225,"NEW YORK",36061,-73.98299996,40.73443169,"NON-PROFIT",225,"NOT AVAILABLE",0
"41","HOSPITAL FOR SPECIAL SURGERY","535 EAST 70TH ST","NEW YORK","SPECIAL",215,"NEW YORK",36061,-73.95231485,40.76492338,"NON-PROFIT",215,"NOT AVAILABLE",0
"42","LENOX HILL HOSPITAL","100 E 77TH ST","NEW YORK","GENERAL ACUTE CARE",632,"NEW YORK",36061,-73.96089077,40.77370268,"NON-PROFIT",632,"NOT AVAILABLE",0
"43","METROPOLITAN HOSPITAL CENTER","1901 1ST AVE","NEW YORK","GENERAL ACUTE CARE",338,"NEW YORK",36061,-73.94453023,40.78492694,"GOVERNMENT - LOCAL",338,"NOT AVAILABLE",0
"44","NEW YORK EYE AND EAR INFIRMARY","310 E 14TH ST","NEW YORK","SPECIAL",69,"NEW YORK",36061,-73.98448331,40.73185306,"NON-PROFIT",69,"NOT AVAILABLE",0
"45","NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN'S HOSPITAL","3959 BROADWAY","NEW YORK","CHILDREN",190,"NEW YORK",36061,-73.94128258,40.83976326,"NON-PROFIT",190,"NOT AVAILABLE",0
"46","MOUNT SINAI HOSPITAL","1 GUSTAVE L LEVY PL","NEW YORK","GENERAL ACUTE CARE",1144,"NEW YORK",36061,-73.95321427,40.78976753,"NON-PROFIT",1144,"NOT AVAILABLE",0
"47","GRACIE SQUARE HOSPITAL","420 E 76TH ST","NEW YORK","PSYCHIATRIC",157,"NEW YORK",36061,-73.95302135,40.7697165,"NON-PROFIT",157,"NOT AVAILABLE",0
"48","COLER-GOLDWATER SPECIALTY HOSPITAL & NURSING FACILITY - COLER HOSPITAL SITE","900 MAIN STREET ROOSEVELT ISLAND","NEW YORK","LONG TERM CARE",210,"NEW YORK",36061,-73.94214388,40.77030214,"GOVERNMENT - LOCAL",210,"NOT AVAILABLE",0
"49","RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS","75 VANDERBILT AVE","STATEN ISLAND","PSYCHIATRIC",25,"RICHMOND",36085,-74.0753546,40.62242782,"NON-PROFIT",25,"NOT AVAILABLE",0
"50","FLUSHING HOSPITAL MEDICAL CENTER","45 TH AVE & PARSONS BLVD","FLUSHING","GENERAL ACUTE CARE",293,"QUEENS",36081,-73.81646552,40.75540992,"NON-PROFIT",293,"NOT AVAILABLE",0
"51","QUEENS HOSPITAL CENTER","82-68 164TH ST","JAMAICA","GENERAL ACUTE CARE",247,"QUEENS",36081,-73.80455619,40.71707221,"GOVERNMENT - LOCAL",247,"NOT AVAILABLE",0
"52","ELMHURST HOSPITAL CENTER","79-01 BRDWAY","ELMHURST","GENERAL ACUTE CARE",551,"QUEENS",36081,-73.88607967,40.74482736,"GOVERNMENT - LOCAL",551,"NOT AVAILABLE",0
"53","JAMAICA HOSPITAL MEDICAL CENTER","8900 VAN WYCK EXPRESSWAY","JAMAICA","GENERAL ACUTE CARE",408,"QUEENS",36081,-73.81611489,40.70010365,"NON-PROFIT",408,"NOT AVAILABLE",0
"54","ST. JOHN'S EPISCOPAL HOSPITAL-SOUTH SHORE","327 BEACH 19TH ST","FAR ROCKAWAY","GENERAL ACUTE CARE",241,"QUEENS",36081,-73.75355062,40.59870798,"NON-PROFIT",241,"NOT AVAILABLE",0
"55","FOREST HILLS HOSPITAL","102-01 66 ROAD","FOREST HILLS","GENERAL ACUTE CARE",222,"QUEENS",36081,-73.85150671,40.72899467,"NON-PROFIT",222,"NOT AVAILABLE",0
"56","WOODHULL MEDICAL AND MENTAL HEALTH CENTER","760 BROADWAY","BROOKLYN","GENERAL ACUTE CARE",388,"KINGS",36047,-73.94237898,40.69952267,"GOVERNMENT - LOCAL",388,"Y",1
"57","NEW YORK HOSPITAL QUEENS","56 45 MAIN ST","FLUSHING","GENERAL ACUTE CARE",519,"QUEENS",36081,-73.82541638,40.74677228,"NON-PROFIT",519,"NOT AVAILABLE",0
"58","RICHMOND UNIVERSITY MEDICAL CENTER - MAIN CAMPUS","355 BARD AVE","STATEN ISLAND","GENERAL ACUTE CARE",448,"RICHMOND",36085,-74.1059378,40.63590241,"NON-PROFIT",448,"NOT AVAILABLE",0
"59","STATEN ISLAND UNIVERSITY HOSPITAL - NORTH","475 SEAVIEW AVENUE","STATEN ISLAND","GENERAL ACUTE CARE",508,"RICHMOND",36085,-74.08621989,40.58498461,"NON-PROFIT",508,"Y",1
"60","MILLARD FILLMORE SUBURBAN HOSPITAL","1540 MAPLE RD","WILLIAMSVILLE","GENERAL ACUTE CARE",265,"ERIE",36029,-78.73023829,42.99403948,"NON-PROFIT",265,"NOT AVAILABLE",0
"61","ALBANY MEMORIAL HOSPITAL","600 NORTHERN BLVD","ALBANY","GENERAL ACUTE CARE",165,"ALBANY",36001,-73.748675,42.67418337,"NON-PROFIT",165,"NOT AVAILABLE",0
"62","BELLEVUE HOSPITAL CENTER","462 FIRST AVENUE","NEW YORK","GENERAL ACUTE CARE",912,"NEW YORK",36061,-73.97538175,40.7393201,"GOVERNMENT - LOCAL",912,"NOT AVAILABLE",0
"63","BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION","1650 GRAND CONCOURSE","BRONX","GENERAL ACUTE CARE",415,"BRONX",36005,-73.91114695,40.84349255,"NON-PROFIT",415,"NOT AVAILABLE",0
"64","ELLIS HOSPITAL","1101 NOTT STREET","SCHENECTADY","GENERAL ACUTE CARE",368,"SCHENECTADY",36093,-73.91731809,42.81985762,"NON-PROFIT",368,"NOT AVAILABLE",0
"65","GLEN COVE HOSPITAL","101 ST ANDREWS LANE","GLEN COVE","GENERAL ACUTE CARE",247,"NASSAU",36059,-73.62238567,40.8710014,"NON-PROFIT",247,"NOT AVAILABLE",0
"66","KINGSBROOK JEWISH MEDICAL CENTER","585 SCHENECTADY AVENUE","BROOKLYN","GENERAL ACUTE CARE",303,"KINGS",36047,-73.93354531,40.65944045,"NON-PROFIT",303,"NOT AVAILABLE",0
"67","LONG ISLAND JEWISH MEDICAL CENTER","270-05 76TH AVE","NEW HYDE PARK","GENERAL ACUTE CARE",1025,"QUEENS",36081,-73.70810636,40.75434328,"NON-PROFIT",1025,"NOT AVAILABLE",0
"68","MONTEFIORE MOUNT VERNON HOSPITAL","12 NORTH 7TH AVENUE","MOUNT VERNON","GENERAL ACUTE CARE",176,"WESTCHESTER",36119,-73.840562,40.91289836,"NON-PROFIT",176,"NOT AVAILABLE",0
"69","MONTEFIORE NEW ROCHELLE HOSPITAL","16 GUION PLACE","NEW ROCHELLE","GENERAL ACUTE CARE",223,"WESTCHESTER",36119,-73.7877626,40.91280606,"NON-PROFIT",23,"NOT AVAILABLE",0
"70","MOUNT SINAI BETH ISRAEL BROOKLYN","3201 KINGS HIGHWAY","BROOKLYN","GENERAL ACUTE CARE",212,"KINGS",36047,-73.94290124,40.6188201,"NON-PROFIT",212,"NOT AVAILABLE",0
"71","MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS","25-10 30TH AVENUE","LONG ISLAND CITY","GENERAL ACUTE CARE",228,"QUEENS",36081,-73.92488434,40.76829506,"NOT AVAILABLE",228,"NOT AVAILABLE",0
"72","NEW YORK PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL","5141 BROADWAY","NEW YORK","GENERAL ACUTE CARE",196,"NEW YORK",36061,-73.91305033,40.87327524,"NON-PROFIT",196,"NOT AVAILABLE",0
"73","NEW YORK PRESBYTERIAN HOSPITAL - WESTCHESTER DIVISION","21 BLOOMINGDALE ROAD","WHITE PLAINS","PSYCHIATRIC",270,"WESTCHESTER",36119,-73.75390988,41.02757951,"NON-PROFIT",270,"NOT AVAILABLE",0
"74","NEWYORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL","1980 CROMPOND ROAD","CORTLANDT MANOR","GENERAL ACUTE CARE",128,"WESTCHESTER",36119,-73.89260099,41.29246466,"NON-PROFIT",128,"NOT AVAILABLE",0
"75","NICHOLAS H NOYES MEMORIAL HOSPITAL","111 CLARA BARTON STREET","DANSVILLE","GENERAL ACUTE CARE",67,"LIVINGSTON",36051,-77.69777078,42.55302525,"NON-PROFIT",67,"Y",1
"76","NORTHERN DUTCHESS HOSPITAL","6511 SPRINGBROOK AVENUE","RHINEBECK","GENERAL ACUTE CARE",68,"DUTCHESS",36027,-73.91319583,41.93547004,"NON-PROFIT",68,"NOT AVAILABLE",0
"77","CROUSE HOSPITAL - COMMONWEALTH DIVISION","6010 EAST MALLOY ROAD","SYRACUSE","SPECIAL",40,"ONONDAGA",36067,-76.10738979,43.09843904,"NON-PROFIT",40,"NOT AVAILABLE",0
"78","ONEIDA HEALTHCARE","321 GENESEE STREET","ONEIDA","GENERAL ACUTE CARE",101,"MADISON",36053,-75.65449007,43.07770601,"NON-PROFIT",101,"NOT AVAILABLE",0
"79","OSWEGO HOSPITAL - ALVIN L KRAKAU COMM MTL HEALTH CENTER DIV","74 BUNNER STREET","OSWEGO","PSYCHIATRIC",32,"OSWEGO",36075,-76.48991686,43.448562,"NON-PROFIT",32,"NOT AVAILABLE",0
"80","ROCKEFELLER UNIVERSITY HOSPITAL","1230 YORK AVENUE","NEW YORK","GENERAL ACUTE CARE",40,"NEW YORK",36061,-73.95462317,40.76304744,"GOVERNMENT - STATE",40,"NOT AVAILABLE",0
"81","HARLEM HOSPITAL CENTER","506 LENOX AVENUE","NEW YORK","GENERAL ACUTE CARE",282,"NEW YORK",36061,-73.93986126,40.81426493,"GOVERNMENT - LOCAL",282,"NOT AVAILABLE",0
"82","HENRY J. CARTER SPECIALTY HOSPITAL","1752 PARK AVENUE","NEW YORK","LONG TERM CARE",201,"NEW YORK",36061,-73.94162385,40.80328511,"NOT AVAILABLE",201,"NOT AVAILABLE",0
"83","SBH HEALTH SYSTEM","4422 THIRD AVENUE","BRONX","GENERAL ACUTE CARE",461,"BRONX",36005,-73.89136288,40.85268901,"NON-PROFIT",461,"NOT AVAILABLE",0
"84","IRA DAVENPORT MEMORIAL HOSPITAL INC","7571 STATE ROUTE 54","BATH","GENERAL ACUTE CARE",35,"STEUBEN",36101,-77.27890663,42.3743292,"NON-PROFIT",35,"NOT AVAILABLE",0
"85","JOHN T MATHER MEMORIAL HOSPITAL OF PORT JEFFERSON NEW YORK INC","75 NORTH COUNTRY ROAD","PORT JEFFERSON","GENERAL ACUTE CARE",248,"SUFFOLK",36103,-73.05439851,40.9390674,"NON-PROFIT",248,"NOT AVAILABLE",0
"86","ST. MARY'S HEALTHCARE - AMSTERDAM MEMORIAL CAMPUS","4988 STHWY 30","AMSTERDAM","GENERAL ACUTE CARE",10,"MONTGOMERY",36057,-74.18712293,42.95906517,"NON-PROFIT",10,"NOT AVAILABLE",0
"87","ST. PETER'S ADDICTION RECOVERY CENTER","3 MERCYCARE LANE","GUILDERLAND","REHABILITATION",40,"ALBANY",36001,-73.90522461,42.69962755,"NON-PROFIT",40,"NOT AVAILABLE",0
"88","THE BURDETT CARE CENTER","2215 BURDETT AVENUE","TROY","WOMEN",15,"RENSSELAER",36083,-73.67266608,42.73335775,"NON-PROFIT",15,"NOT AVAILABLE",0
"89","THE UNITY HOSPITAL OF ROCHESTER","1555 LONG POND ROAD","ROCHESTER","GENERAL ACUTE CARE",311,"MONROE",36055,-77.70515091,43.19291838,"NON-PROFIT",311,"NOT AVAILABLE",0
"90","THE UNITY HOSPITAL OF ROCHESTER-ST MARYS CAMPUS","89 GENESEE STREET","ROCHESTER","PSYCHIATRIC",40,"MONROE",36055,-77.63709975,43.14869528,"NON-PROFIT",40,"NOT AVAILABLE",0
"91","MID-HUDSON VALLEY DIVISION OF WESTCHESTER MEDICAL CENTER","241 NORTH ROAD","POUGHKEEPSIE","GENERAL ACUTE CARE",243,"DUTCHESS",36027,-73.92770935,41.71783839,"GOVERNMENT - LOCAL",243,"Y",1
"92","MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV","1825 EASTCHESTER RD","BRONX","GENERAL ACUTE CARE",421,"BRONX",36005,-73.84589022,40.84988921,"NON-PROFIT",421,"NOT AVAILABLE",0
"93","THE UNIVERSITY OF VERMONT HEALTH NETWORK - CHAMPLAIN VALLEY PHYSICIANS HOSPITAL","75 BEEKMAN ST","PLATTSBURGH","GENERAL ACUTE CARE",300,"CLINTON",36019,-73.46941987,44.70044304,"NON-PROFIT",300,"NOT AVAILABLE",0
"94","TRI TOWN REGIONAL HEALTHCARE","43 PEARL STREET WEST","SIDNEY","GENERAL ACUTE CARE",4,"DELAWARE",36025,-75.39546902,42.3041547,"NON-PROFIT",4,"NOT AVAILABLE",0
"95","MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL","600 EAST 233RD STREET","BRONX","GENERAL ACUTE CARE",325,"BRONX",36005,-73.86119119,40.89369717,"NON-PROFIT",325,"NOT AVAILABLE",0
"96","MOUNT SINAI WEST","1000 TENTH AVENUE","NEW YORK","GENERAL ACUTE CARE",514,"NEW YORK",36061,-73.9874019,40.76982061,"NON-PROFIT",514,"NOT AVAILABLE",0
"97","MOUNT SINAI ST. LUKE'S","1111 AMSTERDAM AVENUE","NEW YORK","GENERAL ACUTE CARE",495,"NEW YORK",36061,-73.96159035,40.80492254,"NON-PROFIT",495,"NOT AVAILABLE",0
"98","NEW YORK PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER","622 WEST 168TH STREET","NEW YORK","GENERAL ACUTE CARE",1007,"NEW YORK",36061,-73.94068652,40.84105288,"NON-PROFIT",1007,"NOT AVAILABLE",0
"99","NEW YORK PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER","525 EAST 68TH STREET","NEW YORK","GENERAL ACUTE CARE",862,"NEW YORK",36061,-73.95433226,40.76454994,"NON-PROFIT",862,"NOT AVAILABLE",0
"100","UNITED MEMORIAL MEDICAL CENTER NORTH STREET CAMPUS","127 NORTH ST","BATAVIA","GENERAL ACUTE CARE",111,"GENESEE",36037,-78.17663186,43.00506087,"NOT AVAILABLE",111,"NOT AVAILABLE",0
"101","UNIVERSITY HOSPITAL OF BROOKLYN","445 LENOX ROAD","BROOKLYN","GENERAL ACUTE CARE",342,"KINGS",36047,-73.94422785,40.65484188,"GOVERNMENT - STATE",342,"NOT AVAILABLE",0
"102","NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL","170 WILLIAM STREET","NEW YORK","GENERAL ACUTE CARE",180,"NEW YORK",36061,-74.00529783,40.71051679,"NON-PROFIT",180,"NOT AVAILABLE",0
"103","NYU HOSPITALS CENTER","550 FIRST AVENUE","NEW YORK","GENERAL ACUTE CARE",844,"NEW YORK",36061,-73.97392933,40.7420469,"NOT AVAILABLE",844,"NOT AVAILABLE",0
"104","SJRH - ST JOHNS DIVISION","967 NORTH BROADWAY","YONKERS","GENERAL ACUTE CARE",225,"WESTCHESTER",36119,-73.88614692,40.96891353,"NON-PROFIT",225,"NOT AVAILABLE",0
"105","WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL","785 MAMARONECK AVENUE","WHITE PLAINS","REHABILITATION",150,"WESTCHESTER",36119,-73.7515055,41.01680868,"NON-PROFIT",150,"NOT AVAILABLE",0
"106","ST JOSEPH'S MEDICAL CENTER","127 SOUTH BROADWAY","YONKERS","GENERAL ACUTE CARE",194,"WESTCHESTER",36119,-73.89769468,40.92925602,"NON-PROFIT",194,"NOT AVAILABLE",0
"107","WOMEN AND CHILDREN'S HOSPITAL OF BUFFALO","219 BRYANT STREET","BUFFALO","CHILDREN",200,"ERIE",36029,-78.87520901,42.90920851,"NON-PROFIT",200,"Y",1
